Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773173155	0	0	0	0	0	37917	41216	0	494648	6592	0	88	0	0	0	0	0	0	0	1	1
1773173158	3	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	11979	35	11979	35	0	0	4	4
1773173161	6	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	13471	49	13471	49	0	0	4	4
1773173164	9	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	14735	59	14735	59	0	0	4	4
1773173167	12	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	16975	86	16975	86	0	0	4	4
1773173170	15	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	18358	98	18358	98	0	0	4	4
1773173173	18	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	19741	110	19741	110	0	0	4	4
1773173176	21	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	21329	125	21243	124	0	0	4	4
1773173179	24	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	22716	137	22630	136	0	0	4	4
1773173182	27	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	24341	153	24255	152	0	0	4	4
1773173185	30	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	25724	165	25638	164	0	0	4	4
1773173188	31	0	0	0	0	244651	981624	0	1978592	6592	0	88	0	27918	182	27832	181	0	0	4	4
1773173191	34	0	0	0	0	244651	981624	0	1978592	6592	0	88	0	29130	191	29044	190	0	0	4	4
1773173194	37	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	30716	207	30630	206	0	0	4	4
1773173197	40	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	32714	230	32628	229	0	0	4	4
1773173200	43	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	34220	244	34134	243	0	0	4	4
1773173203	46	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	35722	258	35636	257	0	0	4	4
1773173206	49	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	36986	268	36900	267	0	0	4	4
1773173209	52	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	38488	282	38402	281	0	0	4	4
1773173212	55	0	0	0	0	244651	981624	0	1978592	6592	0	88	0	40117	298	40031	297	0	0	4	4
1773173215	58	0	0	0	0	244655	981624	0	1978592	6592	0	88	0	41500	310	41414	309	0	0	4	4
