Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773172474	0	0	0	0	0	733	6620	0	127480	6592	0	53	0	0	0	0	0	0	0	2	16
1773172477	3	0	0	0	0	733	6620	0	127480	6592	0	53	0	10408	34	10408	34	0	18	2	16
1773172480	6	0	0	0	0	733	6620	0	127480	6592	0	53	0	48860	86	48860	86	0	43	2	16
1773172483	9	0	0	0	0	733	6620	0	127480	6592	0	53	0	55948	117	55948	117	0	69	2	16
1773172486	12	0	0	0	0	733	6620	0	127480	6592	0	53	0	57527	131	57527	131	0	95	2	16
1773172489	15	0	0	0	0	733	6620	0	127480	6592	0	53	0	80205	236	80205	236	0	120	2	16
1773172492	18	0	0	0	0	733	6620	0	127480	6592	0	53	0	81713	250	81713	250	0	146	2	16
1773172495	21	0	0	0	0	733	6620	0	127480	6592	0	53	0	85311	268	85311	268	0	171	2	16
1773172498	24	0	0	0	0	733	6620	0	127480	6592	0	53	0	87413	284	87413	284	0	195	2	16
1773172501	27	0	0	0	0	733	6620	0	127480	6592	0	53	0	110043	388	110043	388	0	220	2	16
1773172504	30	0	0	0	0	731	6620	0	127480	6592	0	53	0	111543	402	111543	402	0	246	2	16
1773172507	31	0	0	0	0	733	6620	0	127480	6592	0	53	0	113391	421	113391	421	0	257	2	16
1773172510	34	0	0	0	0	733	6620	0	127480	6592	0	53	0	115272	439	115272	439	0	282	2	16
1773172513	37	0	0	0	0	733	6620	0	127480	6592	0	53	0	117516	462	117516	462	0	307	2	16
1773172516	40	0	0	0	0	733	6620	0	127480	6592	0	53	0	119393	480	119393	480	0	332	2	16
1773172519	43	0	0	0	0	733	6620	0	127480	6592	0	53	0	120603	489	120677	490	0	357	2	16
1773172522	46	0	0	0	0	733	6620	0	127480	6592	0	53	0	146077	533	138887	536	0	382	2	16
1773172525	49	0	0	0	0	733	6620	0	127480	6592	0	53	0	149863	553	142673	556	0	407	2	16
1773172528	52	0	0	0	0	731	6620	0	127480	6592	0	53	0	152161	572	144885	574	0	434	2	16
1773172531	55	0	0	0	0	733	6620	0	127480	6592	0	53	0	153732	587	146456	589	0	459	2	16
1773172534	58	0	0	0	0	733	6620	0	127480	6592	0	53	0	989581	762	982305	764	0	484	2	16
