Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773170860	0	0	0	0	0	495	3856	0	301296	6592	0	1855572	1855488	0	0	0	0	0	0	1	5
1773170863	2	0	0	0	0	495	3856	0	301296	6592	0	103006292	103006208	2672	18	2672	18	1	0	1	5
1773170866	5	0	0	0	0	495	3856	0	301296	6592	0	234954836	234954752	4059	30	4059	30	3	0	1	5
1773170869	8	0	0	0	0	495	3856	0	301296	6592	0	363597908	363597824	5561	44	5561	44	5	1	1	5
1773170872	10	0	0	0	0	495	3856	0	301296	6592	0	459898964	459898880	6915	55	6915	55	6	1	1	5
1773170875	12	0	0	0	0	495	3856	0	301296	6592	0	550957140	550957056	8417	69	8417	69	8	1	1	5
1773170878	15	0	0	0	0	495	3856	0	301296	6592	0	679075924	679075840	10690	88	10690	88	9	2	1	5
1773170881	18	0	0	0	0	495	3856	0	301296	6592	0	807387220	807387136	12192	102	12192	102	11	2	1	5
1773170884	21	0	0	0	0	495	3856	0	301296	6592	0	934858836	934858752	13575	114	13575	114	13	3	1	5
1773170887	24	0	0	0	0	495	3856	0	301296	6592	0	1063370836	1063370752	15696	139	15696	139	15	3	1	5
1773170890	27	0	0	0	0	495	3856	0	301296	6592	0	1189961812	1189961728	17198	153	17198	153	17	4	1	5
1773170893	30	0	0	0	0	495	3856	0	301296	74303936	0	1200001108	1200013312	18462	163	18462	163	18	4	1	5
1773170896	33	0	0	0	0	493	3856	0	301296	205429184	0	1200001108	1200013312	19964	177	19964	177	20	5	1	5
1773170899	36	0	0	0	0	495	3856	0	301296	337586624	0	1200001108	1200013312	21470	191	21470	191	21	5	1	5
1773170902	40	0	0	0	0	495	3856	0	301296	456923584	0	1200001108	1200013312	22976	205	22976	205	23	6	1	5
1773170906	42	0	0	0	0	495	3856	0	301296	573970880	0	1200001108	1200013312	24568	220	24568	220	25	6	1	5
1773170908	44	0	0	0	0	493	3856	0	301296	631626176	0	1200001108	1200013312	26501	233	26501	233	26	7	1	5
1773170911	47	0	0	0	0	493	3856	0	301296	766265792	0	1200001108	1200013312	27884	245	27884	245	27	7	1	5
1773170914	50	0	0	0	0	495	3856	0	301296	898648512	0	1200001108	1200013312	29351	259	29351	259	29	8	1	5
1773170917	53	0	0	0	0	495	3856	0	301296	1023986112	0	1200001108	1200013312	31468	284	31468	284	31	8	1	5
1773170920	56	0	0	0	0	495	3856	0	301296	1142299072	0	1200001108	1200013312	32974	298	32974	298	33	9	1	5
1773170923	59	0	0	0	0	503	3984	0	301296	1200007616	0	1200001108	1200013312	34357	310	34357	310	34	9	1	1
