Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773105568	0	0	0	0	0	773	3856	0	153832	6592	0	1302612	1302528	0	0	0	0	0	0	1	3
1773105570	1	0	0	0	0	773	3856	0	153832	6592	0	52641876	52641792	936	8	936	8	0	0	1	3
1773105572	3	0	0	0	0	773	3856	0	153832	6592	0	109555796	109555712	1376	10	1376	10	0	0	1	3
1773105574	5	0	0	0	0	773	3856	0	153832	6592	0	164646996	164646912	1935	14	1935	14	1	0	1	3
1773105576	7	0	0	0	0	773	3856	0	153832	6592	0	219451476	219451392	2494	18	2494	18	1	0	1	3
1773105578	9	0	0	0	0	773	3856	0	153832	6592	0	239992916	239992832	2934	20	2934	20	2	0	1	3
1773105580	12	0	0	0	0	773	3856	0	153832	6846912	0	240001108	240001024	3612	26	3612	26	2	0	1	3
1773105582	14	0	0	0	0	773	3856	0	153832	52689344	0	240001108	240001024	4052	28	4052	28	2	0	1	3
1773105584	14	0	0	0	0	773	3856	0	153832	57346496	0	240001108	240001024	4582	31	4582	31	2	0	1	3
1773105586	16	0	0	0	0	773	3856	0	153832	103696832	0	240001108	240001024	5141	35	5141	35	3	0	1	3
1773105588	18	0	0	0	0	773	3856	0	153832	141208000	0	240001108	240001024	5700	39	5700	39	3	0	1	3
1773105590	20	0	0	0	0	773	3856	0	153832	178506176	0	240001108	240001024	6182	42	6182	42	4	0	1	3
1773105592	22	0	0	0	0	773	3856	0	153832	218286528	0	240001108	240001024	6860	48	6860	48	4	1	1	3
1773105594	24	0	0	0	0	773	3856	0	153832	240007616	0	240001108	240001024	7300	50	7300	50	5	1	1	3
1773105596	26	0	0	0	0	773	3856	0	153832	240007616	0	240001108	240001024	8023	57	8023	57	5	1	1	3
1773105598	28	0	0	0	0	793	3984	0	153832	240007616	0	240001108	240001024	8582	61	8582	61	5	1	1	1
