Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773168172	0	0	0	0	0	36748	40036	0	592304	6592	0	88	0	429	2	429	2	0	0	1	1
1773168175	2	0	0	0	0	293380	296792	0	592304	6592	0	88	0	13762	31	13762	31	0	0	1	1
1773168178	5	0	0	0	0	293380	296792	0	592304	6592	0	88	0	15147	43	15147	43	0	0	1	1
1773168181	8	0	0	0	0	293380	296792	0	592304	6592	0	88	0	16651	57	16651	57	0	0	1	1
1773168184	11	0	0	0	0	293380	296792	0	592304	6592	0	88	0	17917	67	17917	67	0	0	1	1
1773168187	14	0	0	0	0	293380	296792	0	592304	6592	0	88	0	19667	85	19667	85	0	0	1	1
1773168190	18	0	0	0	0	293378	296792	0	592304	6592	0	88	0	21773	101	21773	101	0	0	1	1
1773168193	20	0	0	0	0	293378	296792	0	592304	6592	0	88	0	23106	112	23106	112	0	0	1	1
1773168196	23	0	0	0	0	293380	296792	0	592304	6592	0	88	0	24610	126	24610	126	0	0	1	1
1773168199	26	0	0	0	0	293380	296792	0	592304	6592	0	88	0	25876	136	25876	136	0	0	1	1
1773168202	29	0	0	0	0	293380	296792	0	592304	6592	0	88	0	28118	163	28118	163	0	0	1	1
1773168205	32	0	0	0	0	293380	296792	0	592304	6592	0	88	0	29503	175	29503	175	0	0	1	1
1773168208	35	0	0	0	0	293378	296792	0	592304	6592	0	88	0	30888	187	30888	187	0	0	1	1
1773168211	38	0	0	0	0	293380	296792	0	592304	6592	0	88	0	32340	200	32340	200	0	0	1	1
1773168214	41	0	0	0	0	293380	296792	0	592304	6592	0	88	0	33554	209	33554	209	0	0	1	1
1773168217	44	0	0	0	0	293380	296792	0	592304	6592	0	88	0	35304	227	35304	227	0	0	1	1
1773168220	47	0	0	0	0	293380	296792	0	592304	6592	0	88	0	37410	243	37410	243	0	0	1	1
1773168223	50	0	0	0	0	293380	296792	0	592304	6592	0	88	0	38743	254	38743	254	0	0	1	1
1773168226	53	0	0	0	0	293380	296792	0	592304	6592	0	88	0	40247	268	40247	268	0	0	1	1
1773168229	56	0	0	0	0	293378	296792	0	592304	6592	0	88	0	41513	278	41513	278	0	0	1	1
1773168232	59	0	0	0	0	293380	296792	0	592304	6592	0	88	0	43755	305	43755	305	0	0	1	1
