Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773104276	0	0	0	0	0	61334	64028	0	299336	6592	73728	88	0	642	5	642	5	0	0	1	1
1773104278	2	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	5825	27	5825	27	0	0	1	1
1773104280	4	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	10359	46	10359	46	0	0	1	1
1773104282	6	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	14870	65	14870	65	0	0	1	1
1773104284	8	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	19452	85	19452	85	0	0	1	1
1773104286	10	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	24496	113	24496	113	0	0	1	1
1773104288	12	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	28955	131	28955	131	0	0	1	1
1773104290	13	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	34300	155	34300	155	0	0	1	1
1773104292	14	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	38653	171	38653	171	0	0	1	1
1773104294	16	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	43179	190	43179	190	0	0	1	1
1773104296	18	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	48192	218	48192	218	0	0	1	1
1773104298	20	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	52703	237	52703	237	0	0	1	1
1773104300	22	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	57356	258	57356	258	0	0	1	1
1773104302	24	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	62046	280	62046	280	0	0	1	1
1773104304	26	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	66624	300	66624	300	0	0	1	1
1773104306	28	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	72054	326	72054	326	0	0	1	1
1773104308	30	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	76584	345	76584	345	0	0	1	1
1773104310	32	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	81289	367	81289	367	0	0	1	1
1773104312	34	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	85787	386	85787	386	0	0	1	1
1773104314	36	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	90488	408	90488	408	0	0	1	1
1773104316	38	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	95413	434	95413	434	0	0	1	1
1773104318	40	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	99872	452	99872	452	0	0	1	1
1773104320	42	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	104700	476	104700	476	0	0	1	1
1773104322	44	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	109092	493	109092	493	0	0	1	1
1773104324	45	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	113764	514	113764	514	0	0	1	1
1773104326	47	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	118471	536	118471	536	0	0	1	1
1773104328	49	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	122863	553	122863	553	0	0	1	1
1773104330	51	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	127487	574	127487	574	0	0	1	1
1773104332	53	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	132367	599	132367	599	0	0	1	1
1773104334	55	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	136826	617	136826	617	0	0	1	1
1773104336	57	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	142375	645	142375	645	0	0	1	1
1773104338	59	0	0	0	0	147544	150352	0	299336	6592	73728	88	0	147384	664	147384	664	0	0	1	1
