Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773171475	0	0	0	0	0	35972	39268	0	245624	6592	0	90	0	0	0	0	0	0	0	1	1
1773171478	2	0	0	0	0	120044	123464	0	245624	6592	0	90	0	3157	18	3157	18	0	0	1	1
1773171481	5	0	0	0	0	120044	123464	0	245624	6592	0	90	0	5030	38	5030	38	0	0	1	1
1773171485	8	0	0	0	0	120044	123464	0	245624	6592	0	90	0	6505	51	6505	51	0	0	1	1
1773171488	10	0	0	0	0	120044	123464	0	245624	6592	0	90	0	8382	72	8382	72	0	0	1	1
1773171491	13	0	0	0	0	120044	123464	0	245624	6592	0	90	0	9851	86	9851	86	0	0	1	1
1773171494	16	0	0	0	0	120044	123464	0	245624	6592	0	90	0	11236	98	11236	98	0	0	1	1
1773171497	19	0	0	0	0	120042	123464	0	245624	6592	0	90	0	37275	229	37275	229	0	0	1	1
1773171500	22	0	0	0	0	120044	123464	0	245624	6592	0	90	0	38664	241	38664	241	0	0	1	1
1773171503	25	0	0	0	0	120042	123464	0	245624	6592	0	90	0	44819	261	44819	261	0	0	1	1
1773171506	28	0	0	0	0	120044	123464	0	245624	6592	0	90	0	67453	365	67453	365	0	0	1	1
1773171509	31	0	0	0	0	120042	123464	0	245624	6592	0	90	0	69682	383	69682	383	0	0	1	1
1773171512	34	0	0	0	0	120044	123464	0	245624	6592	0	90	0	71186	397	71186	397	0	0	1	1
1773171515	37	0	0	0	0	120044	123464	0	245624	6592	0	90	0	72944	416	72944	416	0	0	1	1
1773171519	40	0	0	0	0	120044	123464	0	245624	6592	0	90	0	95664	521	95664	521	0	0	1	1
1773171522	42	0	0	0	0	120044	123464	0	245624	6592	0	90	0	96930	531	96930	531	0	0	1	1
1773171525	45	0	0	0	0	120044	123464	0	245624	6592	0	90	0	98518	547	98518	547	0	0	1	1
1773171528	48	0	0	0	0	120044	123464	0	245624	6592	0	90	0	123373	657	123373	657	0	0	1	1
1773171531	51	0	0	0	0	120044	123464	0	245624	6592	0	90	0	124758	669	124758	669	0	0	1	1
1773171534	54	0	0	0	0	120044	123464	0	245624	6592	0	90	0	126262	683	126262	683	0	0	1	1
1773171537	57	0	0	0	0	120044	123464	0	245624	6592	0	90	0	128495	701	128495	701	0	0	1	1
