Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773169253	0	0	0	0	0	602	4108	0	129308	6592	0	54	0	0	0	0	0	0	0	1	16
1773169256	3	0	0	0	0	602	4108	0	129308	6592	0	54	0	12670	26	12670	26	0	23	1	16
1773169259	6	0	0	0	0	600	4108	0	129308	6592	0	54	0	14839	43	14839	43	0	47	1	16
1773169262	9	0	0	0	0	602	4108	0	129308	6592	0	54	0	16340	56	16220	55	0	71	1	16
1773169265	12	0	0	0	0	602	4108	0	129308	6592	0	54	0	17721	68	17601	67	0	95	1	16
1773169268	15	0	0	0	0	602	4108	0	129308	6592	0	54	0	20115	98	19995	97	0	121	1	16
1773169271	18	0	0	0	0	602	4108	0	129308	6592	0	54	0	21504	109	21384	108	0	143	1	16
1773169274	21	0	0	0	0	602	4108	0	129308	6592	0	54	0	23754	132	23634	131	0	167	1	16
1773169277	24	0	0	0	0	602	4108	0	129308	6592	0	54	0	25423	147	25303	146	0	191	1	16
1773169280	27	0	0	0	0	600	4108	0	129308	6592	0	54	0	26804	159	26684	158	0	217	1	16
1773169283	30	0	0	0	0	602	4108	0	129308	6592	0	54	0	28511	177	28391	176	0	238	1	16
1773169286	33	0	0	0	0	602	4108	0	129308	6592	0	54	0	30075	191	29955	190	0	262	1	16
1773169289	36	0	0	0	0	600	4108	0	129308	6592	0	54	0	32390	209	32270	208	0	286	1	16
1773169292	39	0	0	0	0	602	4108	0	129308	6592	0	54	0	33846	221	33726	220	0	310	1	16
1773169295	42	0	0	0	0	602	4108	0	129308	6592	0	54	0	35806	240	35480	237	0	335	1	16
1773169298	45	0	0	0	0	600	4108	0	129308	6592	0	54	0	38723	275	38397	272	0	361	1	16
1773169301	48	0	0	0	0	602	4108	0	129308	6592	0	54	0	40310	288	39984	285	0	387	1	16
1773169304	51	0	0	0	0	600	4108	0	129308	6592	0	54	0	42810	314	42484	311	0	414	1	16
1773169307	54	0	0	0	0	602	4108	0	129308	6592	0	54	0	44512	330	44186	327	0	440	1	16
1773169310	57	0	0	0	0	602	4108	0	129308	6592	0	54	0	46143	345	45817	342	0	464	1	16
1773169313	60	0	0	0	0	602	4108	0	129308	6592	0	54	0	47643	359	47317	356	0	488	1	16
