Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773105047	1	0	0	0	0	1192	4004	0	30956	6592	0	53	0	0	0	0	0	0	1	1	4
1773105049	2	0	0	0	0	1192	4004	0	30956	6592	0	53	0	450	2	450	2	0	6	1	4
1773105051	4	0	0	0	0	1192	4004	0	30956	6592	0	53	0	1138	8	1138	8	0	15	1	4
1773105053	6	0	0	0	0	1192	4004	0	30956	6592	0	53	0	1588	10	1588	10	0	23	1	4
1773105055	8	0	0	0	0	1192	4004	0	30956	6592	0	53	0	2157	14	2157	14	0	32	1	4
1773105057	10	0	0	0	0	1192	4004	0	30956	6592	0	53	0	2726	18	2726	18	0	40	1	4
1773105059	12	0	0	0	0	1192	4004	0	30956	6592	0	53	0	3295	22	3295	22	0	49	1	4
1773105061	14	0	0	0	0	1192	4004	0	30956	6592	0	53	0	3864	26	3864	26	0	57	1	4
1773105063	16	0	0	0	0	1192	4004	0	30956	6592	0	53	0	4314	28	4314	28	0	65	1	4
1773105066	18	0	0	0	0	1192	4004	0	30956	6592	0	53	0	5137	36	5137	36	0	73	1	4
1773105068	19	0	0	0	0	1192	4004	0	30956	6592	0	53	0	5706	40	5706	40	0	80	1	4
1773105070	21	0	0	0	0	1192	4004	0	30956	6592	0	53	0	6156	42	6156	42	0	88	1	4
1773105072	23	0	0	0	0	1192	4004	0	30956	6592	0	53	0	6886	49	6886	49	0	97	1	4
1773105074	25	0	0	0	0	1192	4004	0	30956	6592	0	53	0	7336	51	7336	51	0	105	1	4
1773105076	27	0	0	0	0	1192	4004	0	30956	6592	0	53	0	7905	55	7905	55	0	113	1	4
1773105078	29	0	0	0	0	1192	4004	0	30956	6592	0	53	0	8474	59	8474	59	0	122	1	4
1773105080	31	0	0	0	0	1192	4004	0	30956	6592	0	53	0	8924	61	8924	61	0	130	1	4
1773105082	33	0	0	0	0	1192	4004	0	30956	6592	0	53	0	9612	67	9612	67	0	138	1	4
1773105084	35	0	0	0	0	1192	4004	0	30956	6592	0	53	0	26987	78	26987	78	0	148	1	4
1773105086	37	0	0	0	0	1192	4004	0	30956	6592	0	53	0	27556	82	27556	82	0	156	1	4
1773105088	39	0	0	0	0	1192	4004	0	30956	6592	0	53	0	28125	86	28125	86	0	164	1	4
1773105090	41	0	0	0	0	1192	4004	0	30956	6592	0	53	0	28575	88	28575	88	0	172	1	4
1773105092	43	0	0	0	0	1192	4004	0	30956	6592	0	53	0	29263	94	29263	94	0	181	1	4
1773105094	45	0	0	0	0	1192	4004	0	30956	6592	0	53	0	29713	96	29713	96	0	189	1	4
1773105096	47	0	0	0	0	1192	4004	0	30956	6592	0	53	0	30446	103	30446	103	0	197	1	4
1773105098	49	0	0	0	0	1192	4004	0	30956	6592	0	53	0	31015	107	31015	107	0	206	1	4
1773105100	50	0	0	0	0	1192	4004	0	30956	6592	0	53	0	31555	110	31555	110	0	208	1	4
1773105102	52	0	0	0	0	1192	4004	0	30956	6592	0	53	0	32124	114	32124	114	0	217	1	4
1773105104	54	0	0	0	0	1192	4004	0	30956	6592	0	53	0	32693	118	32693	118	0	224	1	4
1773105106	56	0	0	0	0	1192	4004	0	30956	6592	0	53	0	33227	122	33227	122	0	232	1	4
