Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773107069	1	0	0	0	0	892	4020	0	6368	6592	0	54	0	0	0	0	0	0	0	1	1
1773107071	1	0	0	0	0	892	4020	0	6368	6592	0	54	0	1776	12	1776	12	0	0	1	1
1773107073	3	0	0	0	0	892	4020	0	6368	6592	0	54	0	6175	29	6175	29	0	2	1	1
1773107075	5	0	0	0	0	892	4020	0	6368	6592	0	54	0	11410	52	11410	52	0	4	1	1
1773107077	7	0	0	0	0	892	4020	0	6368	6592	0	54	0	15974	72	15974	72	0	6	1	1
1773107079	9	0	0	0	0	892	4020	0	6368	6592	0	54	0	20596	93	20596	93	0	8	1	1
1773107081	11	0	0	0	0	892	4020	0	6368	6592	0	54	0	25237	114	25237	114	0	10	1	1
1773107083	13	0	0	0	0	892	4020	0	6368	6592	0	54	0	29617	131	29617	131	0	12	1	1
1773107085	15	0	0	0	0	892	4020	0	6368	6592	0	54	0	34975	156	34975	156	0	14	1	1
1773107087	17	0	0	0	0	892	4020	0	6368	6592	0	54	0	39549	176	39549	176	0	17	1	1
1773107089	19	0	0	0	0	892	4020	0	6368	6592	0	54	0	44119	196	44119	196	0	19	1	1
1773107091	21	0	0	0	0	892	4020	0	6368	6592	0	54	0	48812	218	48812	218	0	21	1	1
1773107093	23	0	0	0	0	892	4020	0	6368	6592	0	54	0	53192	235	53192	235	0	23	1	1
1773107095	25	0	0	0	0	892	4020	0	6368	6592	0	54	0	58239	263	58239	263	0	25	1	1
1773107097	27	0	0	0	0	892	4020	0	6368	6592	0	54	0	62794	283	62794	283	0	27	1	1
1773107099	29	0	0	0	0	892	4020	0	6368	6592	0	54	0	67241	301	67241	301	0	29	1	1
1773107101	31	0	0	0	0	892	4020	0	6368	6592	0	54	0	71947	323	71947	323	0	31	1	1
1773107103	33	0	0	0	0	892	4020	0	6368	6592	0	54	0	76346	340	76346	340	0	33	1	1
1773107105	33	0	0	0	0	892	4020	0	6368	6592	0	54	0	80883	359	80883	359	0	34	1	1
1773107107	35	0	0	0	0	892	4020	0	6368	6592	0	54	0	85576	381	85576	381	0	36	1	1
1773107109	37	0	0	0	0	892	4020	0	6368	6592	0	54	0	90625	401	90625	401	0	38	1	1
1773107111	39	0	0	0	0	892	4020	0	6368	6592	0	54	0	95427	425	95427	425	0	40	1	1
1773107113	41	0	0	0	0	892	4020	0	6368	6592	0	54	0	99878	443	99878	443	0	42	1	1
1773107115	43	0	0	0	0	892	4020	0	6368	6592	0	54	0	104448	463	104448	463	0	44	1	1
1773107117	45	0	0	0	0	892	4020	0	6368	6592	0	54	0	109914	490	109914	490	0	46	1	1
1773107119	47	0	0	0	0	892	4020	0	6368	6592	0	54	0	114242	506	114242	506	0	48	1	1
1773107121	49	0	0	0	0	892	4020	0	6368	6592	0	54	0	119231	533	119231	533	0	51	1	1
1773107123	51	0	0	0	0	892	4020	0	6368	6592	0	54	0	123682	551	123682	551	0	53	1	1
1773107125	53	0	0	0	0	892	4020	0	6368	6592	0	54	0	128468	575	128468	575	0	55	1	1
1773107127	55	0	0	0	0	892	4020	0	6368	6592	0	54	0	133213	598	133213	598	0	57	1	1
1773107129	57	0	0	0	0	892	4020	0	6368	6592	0	54	0	137541	614	137541	614	0	59	1	1
1773107131	59	0	0	0	0	892	4020	0	6368	6592	0	54	0	142182	635	142182	635	0	61	1	1
1773107133	61	0	0	0	0	892	4020	0	6368	6592	0	54	0	146752	655	146752	655	0	63	1	1
1773107135	63	0	0	0	0	892	4020	0	6368	6592	0	54	0	152166	681	152166	681	0	65	1	1
1773107138	65	0	0	0	0	892	4020	0	6368	6592	0	54	0	156755	701	156755	701	0	67	1	1
1773107140	67	0	0	0	0	892	4020	0	6368	6592	0	54	0	161206	719	161206	719	0	69	1	1
1773107142	69	0	0	0	0	892	4020	0	6368	6592	0	54	0	165847	740	165847	740	0	71	1	1
1773107144	71	0	0	0	0	892	4020	0	6368	6592	0	54	0	170388	760	170388	760	0	73	1	1
1773107146	73	0	0	0	0	892	4020	0	6368	6592	0	54	0	175754	785	175754	785	0	75	1	1
1773107148	75	0	0	0	0	892	4020	0	6368	6592	0	54	0	180497	808	180497	808	0	77	1	1
1773107150	77	0	0	0	0	892	4020	0	6368	6592	0	54	0	184948	826	184948	826	0	79	1	1
1773107152	79	0	0	0	0	892	4020	0	6368	6592	0	54	0	189745	850	189745	850	0	81	1	1
1773107154	81	0	0	0	0	892	4020	0	6368	6592	0	54	0	194263	869	194263	869	0	83	1	1
1773107156	83	0	0	0	0	892	4020	0	6368	6592	0	54	0	199053	893	199053	893	0	86	1	1
1773107158	85	0	0	0	0	892	4020	0	6368	6592	0	54	0	203671	914	203671	914	0	88	1	1
1773107160	87	0	0	0	0	892	4020	0	6368	6592	0	54	0	208245	934	208245	934	0	90	1	1
1773107162	89	0	0	0	0	892	4020	0	6368	6592	0	54	0	212990	957	212990	957	0	92	1	1
1773107164	91	0	0	0	0	892	4020	0	6368	6592	0	54	0	217508	976	217508	976	0	94	1	1
1773107166	93	0	0	0	0	892	4020	0	6368	6592	0	54	0	222134	997	222134	997	0	96	1	1
1773107168	95	0	0	0	0	892	4020	0	6368	6592	0	54	0	227421	1021	227421	1021	0	98	1	1
1773107170	97	0	0	0	0	892	4020	0	6368	6592	0	54	0	231943	1040	231943	1040	0	100	1	1
1773107172	97	0	0	0	0	892	4020	0	6368	6592	0	54	0	236361	1057	236361	1057	0	101	1	1
1773107174	99	0	0	0	0	892	4020	0	6368	6592	0	54	0	240927	1077	240927	1077	0	103	1	1
1773107176	102	0	0	0	0	892	4020	0	6368	6592	0	54	0	246293	1102	246293	1102	0	105	1	1
1773107178	104	0	0	0	0	892	4020	0	6368	6592	0	54	0	250834	1122	250834	1122	0	107	1	1
1773107180	106	0	0	0	0	892	4020	0	6368	6592	0	54	0	255404	1142	255404	1142	0	109	1	1
1773107182	108	0	0	0	0	892	4020	0	6368	6592	0	54	0	260153	1165	260153	1165	0	111	1	1
1773107184	110	0	0	0	0	858	4020	0	6368	6592	0	54	0	264790	1186	264790	1186	0	113	1	1
1773107186	112	0	0	0	0	892	4020	0	6368	6592	0	54	0	269580	1210	269580	1210	0	115	1	1
1773107188	114	0	0	0	0	892	4020	0	6368	6592	0	54	0	274150	1230	274150	1230	0	118	1	1
