Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773097126	1	0	0	0	0	522	3880	0	80100	6592	0	860243	860160	329	3	329	3	0	0	1	2
1773097128	2	0	0	0	0	522	3880	0	80100	6592	0	15208531	15208448	1901	15	1901	15	0	0	1	2
1773097130	4	0	0	0	0	522	3880	0	80100	6592	0	38355027	38354944	3394	29	3394	29	0	0	1	2
1773097132	6	0	0	0	0	522	3880	0	80100	6592	0	49999955	49999872	4410	35	4410	35	0	0	1	2
1773097134	8	0	0	0	0	522	3880	0	80100	571840	0	50000979	50003968	5493	42	5493	42	0	0	1	2
1773097136	10	0	0	0	0	522	3880	0	80100	25614784	0	50000979	50003968	6822	53	6822	53	0	0	1	2
1773097138	12	0	0	0	0	522	3880	0	80100	48118208	0	50000979	50003968	7957	61	7957	61	0	0	1	2
1773097140	14	0	0	0	0	522	3880	0	80100	50007488	0	50000979	50003968	9163	70	9163	70	0	0	1	2
1773097142	16	0	0	0	0	539	4008	0	80100	50007488	0	50000979	50003968	10302	78	10302	78	0	0	1	1
1773097144	18	0	0	0	0	539	4008	0	80100	50007488	0	50000979	50003968	12352	93	12352	93	0	0	1	1
