Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773092950	0	0	0	0	0	66943	69060	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092952	2	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092954	4	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092956	6	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092958	8	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092960	10	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092962	12	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092964	14	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092966	16	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092968	18	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092970	20	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092972	22	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092974	24	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092976	26	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092978	28	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092980	30	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092982	32	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
1773092984	34	0	0	0	0	99398	101600	0	201680	6592	8192	88	0	0	0	0	0	0	0	1	1
