Time,wtime,gpufbmem,gpumempct,gpusmpct,ngpus,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,label,anomaly_type,run_id
1773092827,0,0,0,0,0,64.3603515625,66.4296875,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092829,2,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092831,4,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092833,6,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092835,8,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092837,10,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092839,12,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092841,14,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092843,16,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092845,18,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092847,20,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092849,22,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092851,24,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092853,26,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092855,28,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092857,30,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092859,32,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092861,34,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092863,36,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092865,38,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092867,40,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092869,42,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092871,44,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092873,46,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092875,48,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092877,50,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092879,52,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092881,54,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092883,56,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092885,58,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092887,60,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092889,62,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092891,64,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092893,66,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092895,68,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092897,70,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092899,72,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092901,74,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092903,76,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092905,78,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092907,80,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092909,82,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092911,84,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092913,86,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092915,88,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092917,90,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092919,92,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092921,94,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092923,96,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092925,98,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092927,100,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092929,102,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092931,104,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092933,106,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092935,108,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092937,110,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092939,112,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092941,114,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092943,116,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092945,118,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773092947,120,0,0,0,0,97.07421875,99.2265625,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_1.txt
1773093928,0,0,0,0,0,61.587890625,63.63671875,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093930,2,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093932,4,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093934,6,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093936,8,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093938,10,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,0,0,0,0,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093940,12,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,90,1,90,1,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093942,14,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,90,1,90,1,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093944,16,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093946,18,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093948,20,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093950,22,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093952,24,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093954,26,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093956,28,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093958,30,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
1773093960,32,0,0,0,0,97.0634765625,99.1953125,0,196.953125,6592,0,88,0,174,3,174,3,0,0,1,1,0,baseline_mem,mem_run_10.txt
