Time,wtime,gpufbmem,gpumempct,gpusmpct,ngpus,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,label,anomaly_type,run_id
1773000000,0,0,0,0,0,0.5,2.226,0,321.5858,6592,0,113,0,5163152,0,0,0,0,0,5,4,1,combined,combined_1.txt
1773000002,2,0,0,0,0,53.3938,237.7105,0,321.5858,6592,0,99,0,3988712,0,0,0,0,1,5,5,1,combined,combined_1.txt
1773000004,4,0,0,0,0,106.2875,473.195,0,321.5858,6592,0,114,0,5596191,0,0,0,0,2,5,5,1,combined,combined_1.txt
1773000006,6,0,0,0,0,159.1813,708.6795,0,321.5858,6592,0,101,0,4596344,0,0,0,0,3,5,3,1,combined,combined_1.txt
1773000008,8,0,0,0,0,212.0751,944.164,0,321.5858,6592,0,112,0,6419865,0,0,0,0,4,5,4,1,combined,combined_1.txt
1773000010,10,0,0,0,0,264.9689,1179.6485,0,321.5858,6592,0,113,0,5592087,0,0,0,0,5,5,3,1,combined,combined_1.txt
1773000012,12,0,0,0,0,260.4688,1159.6143,0,321.5858,6592,0,96,0,0,0,0,0,0,6,5,4,1,combined,combined_1.txt
1773000014,14,0,0,0,0,268.1956,1194.014,0,321.5858,6592,0,118,0,0,0,0,0,0,7,5,3,1,combined,combined_1.txt
1773000016,16,0,0,0,0,265.7418,1183.0896,0,321.5858,6592,0,101,0,0,0,0,0,0,8,5,5,1,combined,combined_1.txt
1773000018,18,0,0,0,0,264.31,1176.7153,0,321.5858,6592,0,91,0,0,0,0,0,1,9,5,2,1,combined,combined_1.txt
1773000020,20,0,0,0,0,264.3869,1177.0577,0,321.5858,6592,0,83,0,0,0,0,0,1,11,5,5,1,combined,combined_1.txt
1773000022,22,0,0,0,0,262.9367,1170.6011,0,321.5858,6592,0,116,0,0,0,0,0,1,12,5,3,1,combined,combined_1.txt
1773000024,24,0,0,0,0,263.8041,1174.4629,0,321.5858,6592,0,95,0,0,0,0,0,1,13,5,3,1,combined,combined_1.txt
1773000026,26,0,0,0,0,263.1444,1171.5258,0,321.5858,6592,0,94,0,0,0,0,0,1,14,5,5,1,combined,combined_1.txt
1773000028,28,0,0,0,0,262.9912,1170.8439,0,321.5858,6592,0,111,0,0,0,0,0,1,15,5,4,1,combined,combined_1.txt
1773000030,30,0,0,0,0,261.4176,1163.8383,0,321.5858,6592,0,85,0,0,0,0,0,1,16,5,5,1,combined,combined_1.txt
1773000032,32,0,0,0,0,263.864,1174.7296,0,321.5858,6592,0,83,0,0,0,0,0,2,17,5,3,1,combined,combined_1.txt
